episode_id,arm,onset_w,mode,scores
EP00008,C3_both,22,RATE_LOSS,"1.4861,1.2584,1.1266,1.4653,1.3603,0.8419,0.3799,0.3867,0.5501,0.2699,0.0757,0.3070,0.4477,0.1579,0.2939,0.2597,0.3364,0.1964,0.3541,0.6416,0.6229,0.6368,0.8716,1.2130,1.4737,1.6440,1.6590,1.8550,2.5062,2.6810,2.6790,2.3282,2.6030,3.1472,3.6861,3.8543,4.0016,4.1649,4.3662,4.5209,4.5305,4.7094"
EP00009,C1_variability,14,RATE_LOSS,"0.2859,0.1522,0.0824,0.1032,0.2261,0.1552,0.0997,0.0645,0.1521,0.1445,0.3517,0.6335,0.9418,1.4225,1.9903,2.4778,2.9935,3.2835,3.7983,4.2339,4.6929,4.9713,5.4074,5.9460,6.4087,6.8005,7.0486,7.3329,7.5937,8.0149,8.3918,8.8427,9.3091,10.0146,10.7396,11.1228,11.4899,11.7699,12.0297,12.2072,12.2203,12.3342"
EP00009,C2_covariance,14,RATE_LOSS,"1.0944,0.8684,0.7377,1.0737,0.9695,0.4551,0.0034,0.0034,0.1696,0.4281,0.4541,0.6637,0.3950,0.4957,0.6215,0.3842,0.5749,0.2579,0.5902,0.6657,0.5322,0.3571,0.0762,0.1280,0.0286,0.2744,0.2839,0.7121,0.5843,0.4974,0.9399,1.4369,0.9367,0.7391,0.6676,0.7785,0.9784,0.8023,0.8279,0.4736,0.3513,0.2622"
EP00009,C3_both,14,RATE_LOSS,"1.0944,0.8684,0.7377,1.0737,0.9695,0.4551,0.0997,0.0645,0.1696,0.4281,0.4541,0.6637,0.9418,1.4225,1.9903,2.4778,2.9935,3.2835,3.7983,4.2339,4.6929,4.9713,5.4074,5.9460,6.4087,6.8005,7.0486,7.3329,7.5937,8.0149,8.3918,8.8427,9.3091,10.0146,10.7396,11.1228,11.4899,11.7699,12.0297,12.2072,12.2203,12.3342"
EP00010,C1_variability,20,RATE_LOSS,"0.0868,0.2953,0.2144,0.1325,0.2064,0.4924,0.1290,0.3102,0.4801,0.1284,0.0109,0.0171,0.2286,0.1007,0.2419,0.4115,0.8161,1.1878,1.9796,2.9345,4.0832,5.1354,6.2976,7.5900,8.7974,9.9755,11.0020,12.1270,13.2040,14.3469,15.5573,16.7240,17.9026,19.2942,20.7935,21.9282,23.2233,24.3555,25.3749,26.1904,26.7302,27.1719"
EP00010,C2_covariance,20,RATE_LOSS,"1.4201,1.1927,1.0611,1.3993,1.2945,0.7768,0.3154,0.3221,0.1447,0.1066,0.1397,0.3707,0.1020,0.2218,0.3568,0.0853,0.2520,0.0853,0.2246,0.3158,0.1945,0.1563,0.3379,0.3042,0.4588,0.2032,0.6511,0.8301,0.9175,0.9647,0.9887,2.0553,1.7773,1.4706,1.2660,1.5477,1.5605,1.3795,1.3531,0.9604,0.7727,0.6835"
EP00010,C3_both,20,RATE_LOSS,"1.4201,1.1927,1.0611,1.3993,1.2945,0.7768,0.3154,0.3221,0.4801,0.1284,0.1397,0.3707,0.2286,0.2218,0.3568,0.4115,0.8161,1.1878,1.9796,2.9345,4.0832,5.1354,6.2976,7.5900,8.7974,9.9755,11.0020,12.1270,13.2040,14.3469,15.5573,16.7240,17.9026,19.2942,20.7935,21.9282,23.2233,24.3555,25.3749,26.1904,26.7302,27.1719"
EP00011,C1_variability,26,CHANNEL_DROPOUT,"0.3079,0.5103,0.4577,0.1457,0.2510,0.1977,0.1831,0.2087,0.5544,0.3145,0.0240,0.0039,0.5889,0.0875,0.2241,0.2518,0.3224,0.1396,0.2183,0.1833,0.2013,0.0039,0.0270,0.1232,1.6236,1.4381,7.8596,13.6025,16.3918,16.7491,17.1931,17.2764,16.9911,16.9739,16.6193,16.5038,16.3993,16.4372,16.4202,16.2063,16.0672,15.6970"
EP00011,C2_covariance,26,CHANNEL_DROPOUT,"1.3836,1.1564,1.0249,1.3629,1.2581,0.7408,0.2797,0.2865,0.1091,0.1420,0.1750,0.4059,0.1374,0.2571,0.3928,0.1291,0.3322,0.0219,0.3275,0.3736,0.2212,0.0778,0.1711,0.1057,0.2902,0.0219,1.1709,1.9803,2.6723,2.5729,2.7430,3.0189,2.9887,2.9283,2.9132,3.0414,3.3185,3.0418,2.9698,2.6498,2.5528,2.4789"
EP00011,C3_both,26,CHANNEL_DROPOUT,"1.3836,1.1564,1.0249,1.3629,1.2581,0.7408,0.2797,0.2865,0.5544,0.3145,0.1750,0.4059,0.5889,0.2571,0.3928,0.2518,0.3322,0.1396,0.3275,0.3736,0.2212,0.0778,0.1711,0.1232,1.6236,1.4381,7.8596,13.6025,16.3918,16.7491,17.1931,17.2764,16.9911,16.9739,16.6193,16.5038,16.3993,16.4372,16.4202,16.2063,16.0672,15.6970"
EP00012,C1_variability,18,CHANNEL_DROPOUT,"0.1038,0.1012,0.0089,0.0297,0.1396,0.2327,0.0262,0.0823,0.4160,0.1315,0.0917,0.1196,0.1268,0.0657,0.0573,0.6260,1.1156,2.0425,20.1628,14.5833,25.5208,30.4845,30.4356,30.3584,30.3267,30.2317,30.4016,30.3513,30.5107,30.2809,30.2386,30.2915,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083"
EP00012,C2_covariance,18,CHANNEL_DROPOUT,"1.0068,0.7813,0.6507,0.9862,0.8822,0.3687,0.0890,0.0823,0.2583,0.5076,0.5404,0.7696,0.4901,0.5848,0.5477,0.0823,1.2350,2.2779,2.0507,6.3484,8.8623,11.4650,11.5654,11.4749,11.7648,11.4084,11.9769,11.9920,12.0391,12.1165,12.2220,12.3545,12.1542,12.2925,12.3914,12.2011,12.3727,12.5927,12.5306,12.1155,12.1041,11.9157"
EP00012,C3_both,18,CHANNEL_DROPOUT,"1.0068,0.7813,0.6507,0.9862,0.8822,0.3687,0.0890,0.0823,0.4160,0.5076,0.5404,0.7696,0.4901,0.5848,0.5477,0.6260,1.2350,2.2779,20.1628,14.5833,25.5208,30.4845,30.4356,30.3584,30.3267,30.2317,30.4016,30.3513,30.5107,30.2809,30.2386,30.2915,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083"
EP00013,C1_variability,23,CHANNEL_DROPOUT,"0.0938,0.2379,0.1730,0.0398,0.1136,0.1873,0.0363,0.1796,0.4413,0.1018,0.0816,0.1095,0.6898,0.1929,0.3292,0.3569,0.4273,0.2108,0.0981,0.7812,1.7248,2.8189,3.6086,21.1272,34.8958,56.2500,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958"
EP00013,C2_covariance,23,CHANNEL_DROPOUT,"1.0978,0.8719,0.7411,1.0772,0.9730,0.4585,0.0000,0.0067,0.1696,0.4193,0.4522,0.6817,0.4148,0.5337,0.6687,0.4065,0.6085,0.2823,0.5177,0.7466,5.5109,9.7790,11.5338,14.2893,24.5725,35.6891,41.0137,41.2023,41.3491,41.4232,41.1598,41.1095,40.8079,40.8521,40.7343,40.5966,40.6158,40.5887,41.0284,40.6605,40.7322,40.9462"
EP00013,C3_both,23,CHANNEL_DROPOUT,"1.0978,0.8719,0.7411,1.0772,0.9730,0.4585,0.0363,0.1796,0.4413,0.4193,0.4522,0.6817,0.6898,0.5337,0.6687,0.4065,0.6085,0.2823,0.5177,0.7812,5.5109,9.7790,11.5338,21.1272,34.8958,56.2500,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958"
EP00014,C1_variability,16,CHANNEL_DROPOUT,"0.0525,0.0590,0.0604,0.0811,0.1550,0.1560,0.0777,0.0555,0.4027,0.1796,0.1992,0.0673,0.0517,0.0212,0.6011,1.3126,1.6709,17.8327,17.9583,19.3996,19.5047,27.9317,27.7386,27.6873,27.6320,27.5234,28.1224,27.8825,27.6490,27.7155,27.5009,27.4539,27.3502,27.2652,27.3777,27.3374,27.9068,28.0037,28.1798,28.2981,28.3706,28.5321"
EP00014,C2_covariance,16,CHANNEL_DROPOUT,"1.1846,0.9583,0.8273,1.1640,1.0596,0.5443,0.0849,0.0917,0.0849,0.3351,0.3680,0.5971,0.3358,0.4860,0.5991,0.4175,0.6042,0.2076,0.4205,0.4099,0.1712,1.1296,1.4119,1.3571,1.4666,1.1965,1.9524,2.3843,2.5805,2.3542,2.3919,2.5982,2.5375,2.5091,2.5132,2.6741,2.8941,2.7625,2.7921,2.4474,2.3748,2.2229"
EP00014,C3_both,16,CHANNEL_DROPOUT,"1.1846,0.9583,0.8273,1.1640,1.0596,0.5443,0.0849,0.0917,0.4027,0.3351,0.3680,0.5971,0.3358,0.4860,0.6011,1.3126,1.6709,17.8327,17.9583,19.3996,19.5047,27.9317,27.7386,27.6873,27.6320,27.5234,28.1224,27.8825,27.6490,27.7155,27.5009,27.4539,27.3502,27.2652,27.3777,27.3374,27.9068,28.0037,28.1798,28.2981,28.3706,28.5321"
EP00015,C1_variability,20,CHANNEL_DROPOUT,"0.0662,0.2287,0.1915,0.0675,0.1413,0.3827,0.0640,0.4822,0.4328,0.0831,0.0540,0.1792,0.3526,0.1654,0.2948,0.2617,0.1658,0.3995,0.8355,2.4732,7.9990,16.1450,18.6036,16.5071,18.7338,28.8901,25.8408,23.9583,26.0417,29.6875,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083"
EP00015,C2_covariance,20,CHANNEL_DROPOUT,"1.1332,0.9070,0.7762,1.1125,1.0082,0.4934,0.0346,0.0413,0.1351,0.3850,0.4179,0.6476,0.3805,0.4995,0.6382,0.3534,0.4612,0.0346,0.1635,0.6563,1.1534,2.2784,3.5295,4.6718,6.0783,6.7841,8.9211,11.3524,12.3768,13.5701,13.6029,14.0716,13.6208,13.5370,13.4435,13.5487,14.0220,13.8037,13.8869,13.5561,13.7061,13.6728"
EP00015,C3_both,20,CHANNEL_DROPOUT,"1.1332,0.9070,0.7762,1.1125,1.0082,0.4934,0.0640,0.4822,0.4328,0.3850,0.4179,0.6476,0.3805,0.4995,0.6382,0.3534,0.4612,0.3995,0.8355,2.4732,7.9990,16.1450,18.6036,16.5071,18.7338,28.8901,25.8408,23.9583,26.0417,29.6875,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083,30.2083"
EP00016,C1_variability,25,CHANNEL_DROPOUT,"0.2908,0.3476,0.1817,0.0951,0.1814,0.3217,0.0917,0.0975,0.4350,0.0811,0.0264,0.0543,0.2965,0.1378,0.2743,0.3019,0.3724,0.1899,0.2685,0.1544,0.0134,0.4321,0.9171,1.4176,2.1118,19.1493,27.4068,24.2671,29.8277,33.3333,38.7200,47.3958,56.7708,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958"
EP00016,C2_covariance,25,CHANNEL_DROPOUT,"1.3611,1.1340,1.0025,1.3404,1.2356,0.7185,0.2576,0.2644,0.0872,0.1638,0.1969,0.4276,0.1593,0.2789,0.4145,0.1510,0.3540,0.0000,0.3493,0.4946,0.4429,0.3946,0.3765,1.3001,3.0488,3.7294,5.4732,8.8431,12.9529,18.8275,21.7517,27.8192,37.6310,42.1908,41.7431,41.9875,41.9724,42.1073,42.2791,42.0804,41.8487,41.5454"
EP00016,C3_both,25,CHANNEL_DROPOUT,"1.3611,1.1340,1.0025,1.3404,1.2356,0.7185,0.2576,0.2644,0.4350,0.1638,0.1969,0.4276,0.2965,0.2789,0.4145,0.3019,0.3724,0.1899,0.3493,0.4946,0.4429,0.4321,0.9171,1.4176,3.0488,19.1493,27.4068,24.2671,29.8277,33.3333,38.7200,47.3958,56.7708,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958,59.8958"
EP00017,C1_variability,24,CHANNEL_DROPOUT,"0.2952,0.3589,0.4729,0.1325,0.2911,0.3320,0.1726,0.2761,0.5986,0.3921,0.0573,0.0171,0.5361,0.1007,0.2372,0.2649,0.3354,0.1528,0.2352,0.1915,0.1976,0.0324,0.0546,0.0374,3.3665,3.6180,5.1709,6.1607,6.9126,7.0538,7.0031,6.7823,6.3482,10.1896,9.8172,9.3171,9.2672,15.1233,15.0003,14.9778,14.9769,16.4236"
EP00017,C2_covariance,24,CHANNEL_DROPOUT,"1.3868,1.1596,1.0280,1.3661,1.2612,0.7439,0.2828,0.2896,0.1122,0.1389,0.1720,0.4028,0.1343,0.2540,0.3897,0.1260,0.3292,0.0250,0.3145,0.3508,0.1787,0.0250,0.2272,0.1980,0.4867,0.2232,0.8249,1.0272,1.2233,1.1381,1.4799,1.6244,1.5029,1.6987,1.6242,1.7652,1.9668,2.1557,2.2134,1.8777,1.6965,2.1083"
EP00017,C3_both,24,CHANNEL_DROPOUT,"1.3868,1.1596,1.0280,1.3661,1.2612,0.7439,0.2828,0.2896,0.5986,0.3921,0.1720,0.4028,0.5361,0.2540,0.3897,0.2649,0.3354,0.1528,0.3145,0.3508,0.1976,0.0324,0.2272,0.1980,3.3665,3.6180,5.1709,6.1607,6.9126,7.0538,7.0031,6.7823,6.3482,10.1896,9.8172,9.3171,9.2672,15.1233,15.0003,14.9778,14.9769,16.4236"
EP00018,C1_variability,16,CHANNEL_DROPOUT,"0.1373,0.1405,0.0876,0.1084,0.1823,0.1604,0.1049,0.0697,0.3355,0.1144,0.0216,0.0371,0.1681,0.1089,0.4103,0.4830,3.9085,4.1691,6.7323,6.8466,15.3094,17.8060,16.7608,19.3097,17.7894,15.0859,15.4250,25.4756,29.2887,29.0070,30.9795,31.0479,32.0305,34.6925,33.9563,35.2169,35.0718,38.6128,42.4135,45.9069,49.7635,49.7248"
EP00018,C2_covariance,16,CHANNEL_DROPOUT,"1.1846,0.9583,0.8273,1.1640,1.0596,0.5443,0.0849,0.0917,0.0849,0.3351,0.3680,0.5759,0.3076,0.4414,0.5335,0.2909,0.4083,0.2433,0.5616,0.8421,0.6269,1.0890,1.7415,2.4980,2.5992,2.9645,3.4535,3.4828,4.5870,5.2074,5.3816,5.8116,5.8069,6.3481,7.3994,7.8949,8.3990,8.9059,10.1995,10.0048,11.2923,10.8746"
EP00018,C3_both,16,CHANNEL_DROPOUT,"1.1846,0.9583,0.8273,1.1640,1.0596,0.5443,0.1049,0.0917,0.3355,0.3351,0.3680,0.5759,0.3076,0.4414,0.5335,0.4830,3.9085,4.1691,6.7323,6.8466,15.3094,17.8060,16.7608,19.3097,17.7894,15.0859,15.4250,25.4756,29.2887,29.0070,30.9795,31.0479,32.0305,34.6925,33.9563,35.2169,35.0718,38.6128,42.4135,45.9069,49.7635,49.7248"
