trial_uid,participant,cohort,trial_day,block,block_id,trial_in_block,start_bin_matlab,stop_bin_matlab,start_bin,stop_bin,n_bins_in_trial,angle_error_deg,success,time_to_target,path_efficiency,orth_changes,excluded,used_click
T11_d665_b7_t11,T11,main,665,7,T11/day_665/block_7,11,2357,2483,2356,2483,127,16.300561904907227,True,2.54,0.9231436252593994,1.0,False,True
T11_d665_b7_t12,T11,main,665,7,T11/day_665/block_7,12,2484,2675,2483,2675,192,38.52459716796875,True,3.84,0.7276097536087036,0.0,False,True
T11_d665_b7_t13,T11,main,665,7,T11/day_665/block_7,13,2676,2831,2675,2831,156,27.54897689819336,True,3.12,0.7993113994598389,1.0,False,True
T11_d665_b7_t14,T11,main,665,7,T11/day_665/block_7,14,2832,2971,2831,2971,140,24.0600643157959,True,2.8,0.8683663606643677,0.0,False,True
T11_d665_b7_t15,T11,main,665,7,T11/day_665/block_7,15,2972,3096,2971,3096,125,11.492480278015137,True,2.5,0.9207664728164673,1.0,False,True
T11_d665_b7_t16,T11,main,665,7,T11/day_665/block_7,16,3097,3257,3096,3257,161,34.31434631347656,True,3.22,0.779945433139801,1.0,False,True
T11_d665_b7_t17,T11,main,665,7,T11/day_665/block_7,17,3258,3403,3257,3403,146,14.533870697021484,True,2.92,0.885781466960907,1.0,False,True
T11_d665_b7_t18,T11,main,665,7,T11/day_665/block_7,18,3404,3612,3403,3612,209,22.543527603149414,True,4.18,0.7968326210975647,0.0,False,True
T11_d665_b7_t19,T11,main,665,7,T11/day_665/block_7,19,3613,3842,3612,3842,230,16.46181869506836,True,4.6,0.9103389978408813,2.0,False,True
T11_d665_b7_t20,T11,main,665,7,T11/day_665/block_7,20,3843,4112,3842,4112,270,25.499540328979492,True,5.4,0.8471940159797668,3.0,False,True
T11_d665_b7_t21,T11,main,665,7,T11/day_665/block_7,21,4113,4299,4112,4299,187,26.96475601196289,True,3.74,0.8185564279556274,1.0,False,True
T11_d665_b7_t22,T11,main,665,7,T11/day_665/block_7,22,4300,4532,4299,4532,233,17.319276809692383,True,4.66,0.8047876358032227,1.0,True,True
T11_d665_b7_t23,T11,main,665,7,T11/day_665/block_7,23,4533,4685,4532,4685,153,39.06159591674805,True,3.06,0.6783181428909302,1.0,True,True
T11_d665_b7_t24,T11,main,665,7,T11/day_665/block_7,24,4686,4939,4685,4939,254,36.421810150146484,True,5.08,0.7521182894706726,1.0,False,True
T11_d665_b7_t25,T11,main,665,7,T11/day_665/block_7,25,4940,5080,4939,5080,141,20.819169998168945,True,2.82,0.864801824092865,1.0,False,True
T11_d665_b7_t26,T11,main,665,7,T11/day_665/block_7,26,5081,5375,5080,5375,295,17.310794830322266,True,5.9,0.7562685608863831,4.0,False,True
T11_d665_b7_t27,T11,main,665,7,T11/day_665/block_7,27,5376,5531,5375,5531,156,25.08006477355957,True,3.12,0.844312310218811,1.0,False,True
T11_d665_b7_t28,T11,main,665,7,T11/day_665/block_7,28,5532,5651,5531,5651,120,5.730992794036865,True,2.4,0.8982232809066772,0.0,False,True
T11_d665_b7_t29,T11,main,665,7,T11/day_665/block_7,29,5652,5782,5651,5782,131,21.24016571044922,True,2.62,0.7856393456459045,1.0,False,True
T11_d665_b7_t30,T11,main,665,7,T11/day_665/block_7,30,5783,5917,5782,5917,135,23.85498046875,True,2.7,0.834078848361969,0.0,False,True
T11_d665_b7_t31,T11,main,665,7,T11/day_665/block_7,31,5918,6087,5917,6087,170,11.555283546447754,True,3.4,0.8891522884368896,0.0,False,True
T11_d665_b7_t32,T11,main,665,7,T11/day_665/block_7,32,6088,6221,6087,6221,134,12.021986961364746,True,2.68,0.8266803622245789,1.0,False,True
T11_d665_b7_t33,T11,main,665,7,T11/day_665/block_7,33,6222,6347,6221,6347,126,7.2466888427734375,True,2.52,0.9304666519165039,1.0,False,True
T11_d665_b7_t34,T11,main,665,7,T11/day_665/block_7,34,6348,6493,6347,6493,146,23.1025447845459,True,2.92,0.859006941318512,0.0,False,True
T11_d665_b7_t35,T11,main,665,7,T11/day_665/block_7,35,6494,6636,6493,6636,143,12.862550735473633,True,2.86,0.8811278343200684,0.0,False,True
T11_d665_b7_t36,T11,main,665,7,T11/day_665/block_7,36,6637,7015,6636,7015,379,41.634613037109375,True,7.58,0.39344513416290283,4.0,True,True
T11_d665_b7_t37,T11,main,665,7,T11/day_665/block_7,37,7016,7150,7015,7150,135,7.9719672203063965,True,2.7,0.9008923172950745,1.0,False,True
T11_d665_b7_t38,T11,main,665,7,T11/day_665/block_7,38,7151,7277,7150,7277,127,7.881147861480713,True,2.54,0.8397563099861145,0.0,False,True
T11_d665_b7_t39,T11,main,665,7,T11/day_665/block_7,39,7278,7409,7277,7409,132,12.097418785095215,True,2.64,0.9269046783447266,1.0,False,True
T11_d665_b7_t40,T11,main,665,7,T11/day_665/block_7,40,7410,7553,7409,7553,144,14.219051361083984,True,2.88,0.9062594771385193,0.0,False,True
T11_d665_b7_t41,T11,main,665,7,T11/day_665/block_7,41,7554,7783,7553,7783,230,21.024145126342773,True,4.6,0.7345600724220276,2.0,False,True
T11_d665_b7_t42,T11,main,665,7,T11/day_665/block_7,42,7784,7966,7783,7966,183,22.918807983398438,True,3.66,0.8539764881134033,1.0,False,True
T11_d665_b7_t43,T11,main,665,7,T11/day_665/block_7,43,7967,8123,7966,8123,157,24.502302169799805,True,3.14,0.9286019206047058,2.0,False,True
T11_d665_b7_t44,T11,main,665,7,T11/day_665/block_7,44,8124,8282,8123,8282,159,24.276830673217773,True,3.18,0.8735120296478271,0.0,False,True
T11_d665_b7_t45,T11,main,665,7,T11/day_665/block_7,45,8283,8477,8282,8477,195,35.67900466918945,True,3.9,0.694064736366272,1.0,False,True
T11_d665_b7_t46,T11,main,665,7,T11/day_665/block_7,46,8478,8689,8477,8689,212,26.924827575683594,True,4.24,0.8157829642295837,3.0,False,True
T11_d665_b7_t47,T11,main,665,7,T11/day_665/block_7,47,8690,8852,8689,8852,163,10.248849868774414,True,3.26,0.8740568161010742,1.0,False,True
T11_d665_b7_t48,T11,main,665,7,T11/day_665/block_7,48,8853,8998,8852,8998,146,21.37965202331543,True,2.92,0.81938236951828,1.0,False,True
T11_d665_b7_t49,T11,main,665,7,T11/day_665/block_7,49,8999,9194,8998,9194,196,24.285785675048828,True,3.92,0.8271459341049194,1.0,False,True
T11_d665_b7_t50,T11,main,665,7,T11/day_665/block_7,50,9195,9439,9194,9439,245,33.151363372802734,True,4.9,0.8528862595558167,1.0,False,True
T11_d665_b7_t51,T11,main,665,7,T11/day_665/block_7,51,9440,9603,9439,9603,164,13.447345733642578,True,3.28,0.8579153418540955,0.0,False,True
T11_d665_b7_t52,T11,main,665,7,T11/day_665/block_7,52,9604,9810,9603,9810,207,25.46070671081543,True,4.14,0.8099985718727112,1.0,False,True
T11_d665_b7_t53,T11,main,665,7,T11/day_665/block_7,53,9811,9965,9810,9965,155,13.60423755645752,True,3.1,0.7578359246253967,1.0,False,True
T11_d665_b7_t54,T11,main,665,7,T11/day_665/block_7,54,9966,10385,9965,10385,420,24.316001892089844,True,8.4,0.2981337308883667,6.0,False,True
T11_d665_b7_t55,T11,main,665,7,T11/day_665/block_7,55,10386,10637,10385,10637,252,39.73146438598633,True,5.04,0.8623058199882507,1.0,False,True
T11_d665_b7_t56,T11,main,665,7,T11/day_665/block_7,56,10638,10808,10637,10808,171,27.943805694580078,True,3.42,0.8075459003448486,0.0,False,True
T11_d665_b7_t57,T11,main,665,7,T11/day_665/block_7,57,10809,10956,10808,10956,148,16.47753143310547,True,2.96,0.8560364246368408,0.0,False,True
T11_d665_b7_t58,T11,main,665,7,T11/day_665/block_7,58,10957,11116,10956,11116,160,34.691001892089844,True,3.2,0.7555229663848877,1.0,False,True
T11_d665_b7_t59,T11,main,665,7,T11/day_665/block_7,59,11117,11280,11116,11280,164,14.648131370544434,True,3.28,0.9085378050804138,0.0,False,True
T11_d665_b7_t60,T11,main,665,7,T11/day_665/block_7,60,11281,11462,11280,11462,182,16.655385971069336,True,3.64,0.9055129885673523,4.0,False,True
T11_d665_b7_t61,T11,main,665,7,T11/day_665/block_7,61,11463,11594,11462,11594,132,20.355579376220703,True,2.64,0.8924292922019958,1.0,False,True
