ae_lo,ae_hi,mean_ae,n_bins,kld,participant
0.0,4.0,1.9820924997329712,12839,0.0,T5
4.0,8.0,5.985057353973389,12479,0.0037270293789455344,T5
8.0,12.0,10.003836631774902,12237,0.008609924559693116,T5
12.0,16.0,13.972990989685059,11525,0.00606240935458735,T5
16.0,20.0,17.954708099365234,10965,0.008715838343745563,T5
20.0,24.0,21.95592498779297,10039,0.012371462373716557,T5
24.0,28.0,25.962709426879883,9219,0.018420078669256545,T5
28.0,32.0,29.978017807006836,8455,0.022901064204092325,T5
32.0,36.0,33.96963882446289,7800,0.022471964458665283,T5
36.0,40.0,37.963890075683594,7214,0.031107127912431976,T5
40.0,44.0,41.965396881103516,6753,0.03940866585136393,T5
44.0,48.0,45.984100341796875,5998,0.054469568723651385,T5
48.0,52.0,49.97898864746094,5835,0.04229553054820889,T5
52.0,56.0,53.9926872253418,5401,0.05742205812410939,T5
56.0,60.0,58.005027770996094,5172,0.06430478122638883,T5
60.0,64.0,61.9769401550293,4831,0.072211869110548,T5
64.0,68.0,65.95453643798828,4656,0.08893812949663449,T5
68.0,72.0,69.97801971435547,4338,0.0892764770215364,T5
72.0,76.0,73.99032592773438,4239,0.09150085160179122,T5
76.0,80.0,77.97183227539062,4126,0.11591389994167467,T5
80.0,84.0,81.98094177246094,4054,0.11074724391025415,T5
84.0,88.0,86.01664733886719,3956,0.1138871386296616,T5
88.0,92.0,89.9610366821289,3793,0.12072782033341034,T5
92.0,96.0,94.03053283691406,3693,0.1412910718159548,T5
96.0,100.0,98.01737213134766,3723,0.14831706339785544,T5
100.0,104.0,101.93321228027344,3649,0.15214162796536002,T5
104.0,108.0,105.9695816040039,3579,0.17451899769505697,T5
108.0,112.0,109.99475860595703,3518,0.14764213736777698,T5
112.0,116.0,113.99095153808594,3474,0.18635205714271352,T5
116.0,120.0,117.990234375,3513,0.21063114139336414,T5
120.0,124.0,122.02037811279297,3521,0.20381655344181238,T5
124.0,128.0,126.03271484375,3585,0.1943203454306035,T5
128.0,132.0,129.99249267578125,3598,0.22813257765282313,T5
132.0,136.0,134.0357208251953,3727,0.21160300501953322,T5
136.0,140.0,137.99143981933594,3828,0.22107530413281928,T5
140.0,144.0,141.9990234375,3932,0.24110841554903062,T5
144.0,148.0,146.02456665039062,4018,0.23560456019276654,T5
148.0,152.0,150.00135803222656,4157,0.22973725741736906,T5
152.0,156.0,154.04649353027344,4079,0.23239152702637522,T5
156.0,160.0,158.0086669921875,4282,0.20920377551794367,T5
160.0,164.0,162.0179901123047,4385,0.22262315436261293,T5
164.0,168.0,166.02169799804688,4413,0.2308512514632466,T5
168.0,172.0,170.01414489746094,4375,0.2347343244638187,T5
172.0,176.0,173.99240112304688,4502,0.2326062900569783,T5
176.0,180.0,178.0187530517578,4499,0.23422187228693403,T5
